Tiempo,NúmeroJoints,G_parcial
4.780000,4.000000,307.309800
4.790000,4.000000,270.747385
4.800000,4.000000,298.010671
4.810000,4.000000,309.448043
4.820000,4.000000,360.000000
4.830000,4.000000,360.000000
4.840000,4.000000,330.611267
4.850000,4.000000,360.000000
4.860000,4.000000,355.723151
4.870000,4.000000,360.000000
4.880000,4.000000,323.329746
4.890000,4.000000,360.000000
4.900000,4.000000,360.000000
4.910000,4.000000,335.897755
4.920000,4.000000,296.890897
4.930000,4.000000,302.253462
4.940000,4.000000,360.000000
4.950000,4.000000,360.000000
4.960000,4.000000,284.436734
4.970000,4.000000,335.790374
4.980000,4.000000,360.000000
4.990000,4.000000,340.396917
5.000000,4.000000,271.080995
5.010000,4.000000,294.351622
5.020000,4.000000,360.000000
5.030000,4.000000,360.000000
5.040000,4.000000,327.370479
5.050000,4.000000,360.000000
5.060000,4.000000,360.000000
5.070000,4.000000,276.990521
5.080000,4.000000,313.396517
5.090000,4.000000,262.579468
5.100000,4.000000,274.233660
5.110000,4.000000,299.008922
5.120000,4.000000,316.032940
5.130000,4.000000,343.804643
5.140000,4.000000,293.519500
5.150000,4.000000,319.177204
5.160000,4.000000,360.000000
5.170000,4.000000,316.665550
5.180000,4.000000,359.760002
5.190000,4.000000,360.000000
5.200000,4.000000,360.000000
5.210000,4.000000,330.720187
5.220000,4.000000,358.256902
5.230000,4.000000,306.246596
5.240000,4.000000,353.722033
5.250000,4.000000,265.665609
5.260000,4.000000,287.895785
5.270000,4.000000,296.241250
5.280000,4.000000,360.000000
5.290000,4.000000,360.000000
5.300000,4.000000,256.044959
5.310000,4.000000,311.618249
5.320000,4.000000,278.083906
5.330000,4.000000,317.984665
5.340000,4.000000,295.465176
5.350000,4.000000,327.528994
5.360000,4.000000,360.000000
5.370000,4.000000,353.053992
5.380000,4.000000,278.418323
5.390000,4.000000,311.689224
5.400000,4.000000,288.115897
5.410000,4.000000,358.970352
5.420000,4.000000,360.000000
5.430000,4.000000,290.010096
5.440000,4.000000,354.597314
5.450000,4.000000,360.000000
5.460000,4.000000,290.935917
5.470000,4.000000,313.906298
5.480000,4.000000,330.455991
5.490000,4.000000,360.000000
5.500000,4.000000,347.013396
5.510000,4.000000,359.801273
5.520000,4.000000,302.753330
5.530000,4.000000,360.000000
5.540000,4.000000,360.000000
5.550000,4.000000,291.879659
5.560000,4.000000,360.000000
5.570000,4.000000,342.022165
5.580000,4.000000,304.710698
5.590000,4.000000,339.159283
5.600000,4.000000,360.000000
5.610000,4.000000,249.997808
5.620000,4.000000,283.203560
5.630000,4.000000,333.748754
5.640000,4.000000,360.000000
5.650000,4.000000,314.819197
